"","name","lat","lon","country"
"1","University of Freiburg",47.999195098877,7.84813022613525,"Germany"
"2","University of California",37.8056831359863,-122.268104553223,"United States"
"3","Zymo Research Corp",-37.7035598754883,145.180358886719,"Australia"
"4","Medical College of Soochow University",40.9437103271484,40.2619209289551,"Turkey"
"5","The Third People's Hospital of Wuxi",31.4909896850586,120.312370300293,"China"
"6","Key Laboratory of Parasitic Disease Control and Prevention (Ministry of Health)",40.9437103271484,40.2619209289551,"Turkey"
"7","University of Milan",45.4602432250977,9.19415855407715,"Italy"
"8","University Hospital ASST Fatebenefratelli Sacco",40.3784294128418,15.3781099319458,"Italy"
"9","University of Messina",38.1889762878418,15.5528059005737,"Italy"
"10","University of Idaho",46.7281913757324,-117.006896972656,"United States"
"11","Kaohsiung Medical University",22.6201400756836,120.31226348877,"Taiwan"
"12","China Medical University",36.5631141662598,103.735809326172,"China"
"13","Banaras Hindu University",25.2780094146729,83.0020904541016,"India"
"14","The University of Western Ontario",43.0089416503906,-81.2617721557617,"Canada"
"15","University of Minnesota",44.9734497070312,-93.2378997802734,"United States"
"16","University Hospital Cancer Center",52.421459197998,-1.43792998790741,"United Kingdom"
"17","The Cancer Institute of New Jersey",40.1387748718262,-74.6769104003906,"United States"
"18","MRIGlobal",NA,NA,NA
"19","EpiPointe, LLC",NA,NA,NA
"20","Kazakh National University",32.9052963256836,-117.243560791016,"United States"
"21","Kazakh National Agrarian University",43.0167007446289,42.2832984924316,"Georgia"
"22","Uniformed Services University of the Health Sciences",38.9997596740723,-77.0832443237305,"United States"
"23","Norwegian University of Life Sciences",40.6830215454102,-76.2544097900391,"United States"
"24","Shandong University",36.4687042236328,118.517120361328,"China"
"25","University of Southern Denmark",-27.6047096252441,151.929931640625,"Australia"
"26","Institut National de Recherche Biomedicale",51.1218070983887,10.4006948471069,"Germany"
"27","Kinshasa School of Public Health",-4.44445610046387,15.9150981903076,"Congo (DRC)"
"28","Ministère de la Sante",46.2638092041016,2.3486499786377,"France"
"29","Chatham House Center on Global Health Security",44.0767097473145,-77.4199829101562,"Canada"
"30","London School of Hygiene and Tropical Medicine",51.5204315185547,-0.130309998989105,"United Kingdom"
"31","Dunstable University Hospital NHS Foundation Trust",51.8859481811523,-0.520850002765656,"United Kingdom"
"32","Tufts University School of Medicine",42.3496513366699,-71.061882019043,"United States"
"33","Medical College of Wisconsin",43.045539855957,-88.0227737426758,"United States"
"34","Shandong University of Traditional Chinese Medicine",36.4687042236328,118.517120361328,"China"
"35","The University of Illinois at Chicago",41.8700294494629,-87.6607284545898,"United States"
"36","University of Illinois at Chicago",41.8707962036133,-87.6496658325195,"United States"
"37","Texas Biomedical Research Institute",31.4627456665039,-99.3330459594727,"United States"
"38","University of Illinois",40.0963249206543,-88.2294921875,"United States"
"39","Shanghai Jiaotong University",31.0254402160645,121.436302185059,"China"
"40","The George Washington University",38.9005088806152,-77.0501174926758,"United States"
"41","United States of America",39.4959106445312,-98.9899826049805,"United States"
"42","University of Würzburg",49.787841796875,9.93556022644043,"Germany"
"43","University of Texas",30.2787208557129,-97.7324523925781,"United States"
"44","Kansas State University",39.1860809326172,-96.5832672119141,"United States"
"45","University of Malaya",40.9437103271484,40.2619209289551,"Turkey"
"46","Curtin University",-31.9540615081787,115.863220214844,"Australia"
"47","The University of Queensland",-27.4939594268799,153.00617980957,"Australia"
"48","University of Michigan",42.2762107849121,-83.7407531738281,"United States"
"49","Peking University First Hospital",39.9925537109375,116.310485839844,"China"
"50","University of Ghana",7.9606761932373,-1.20756804943085,"Ghana"
"51","University of Michigan Medical School",42.2762107849121,-83.7407531738281,"United States"
"52","emergentec biodevelopment GmbH",NA,NA,NA
"53","University of Vienna",48.2128105163574,16.3610992431641,"Austria"
"54","Chonnam National University",34.8679008483887,126.990997314453,"South Korea"
"55","Korea Basic Science Institute",36.4511566162109,127.861145019531,"South Korea"
"56","Lancaster University",54.0102615356445,-2.78708004951477,"United Kingdom"
"57","University of Oxford",51.7589988708496,-1.26400005817413,"United Kingdom"
"58","Universidade CEUMA",-3.7428,-38.54079,"Brazil"
"59","Instituto Federal do Maranhão",-2.51449990272522,-44.3006782531738,"Brazil"
"60","Universidade Federal do Maranhão",-2.50881,-44.26473,"Brazil"
"61","University of Washington",47.6565093994141,-122.312088012695,"United States"
"62","National Pet Alliance",40.9215507507324,-81.105842590332,"United States"
"63","Oswaldo Cruz Foundation",-22.881010055542,-43.352668762207,"Brazil"
"64","University of Zurich",47.38234,8.54819,"Switzerland"
"65","International Livestock Research Institute (ILRI)",34.0983047485352,-117.269203186035,"United States"
"66","Army Medical Research Institute of Infectious Diseases",40.9437103271484,40.2619209289551,"Turkey"
"67","Sarepta Therapeutics, Inc",32.895320892334,-93.4485321044922,"United States"
"68","Public Health Agency of Canada",62.5360412597656,-96.3883514404297,"Canada"
"69","Amsterdam University Medical Center",52.3687591552734,4.89012002944946,"Netherlands"
"70","Cantonal Hospital St",55.84738,-4.25425,"United Kingdom"
"71","UAB",33.5059394836426,-86.799560546875,"United States"
"72","Vialle delle Terme di Caracalla",41.87774,12.49506,"Italy"
"73","Sigmovir Biosystems, Inc",NA,NA,NA
"74","University of Maryland School of Medicine",38.987850189209,-76.9389038085938,"United States"
"75","Lovelace Respiratory Research Institute",-37.7035598754883,145.180358886719,"Australia"
"76","University of Georgia",33.9571990966797,-83.3740615844727,"United States"
"77","Chinese Academy of Agricultural Sciences",40.9437103271484,40.2619209289551,"Turkey"
"78","Federal University of Pará",-1.43936002254486,-48.497688293457,"Brazil"
"79","Murdoch University",-32.0647506713867,115.838226318359,"Australia"
"80","University of Western Australia Perth",-31.986400604248,115.818786621094,"Australia"
"81","University of Cincinnati College of Medicine",39.1395683288574,-84.5051727294922,"United States"
"82","University College London Institute of Child Health London",51.506420135498,-0.127210006117821,"United Kingdom"
"83","University of Veterinary and Pharmaceutical Sciences",40.9437103271484,40.2619209289551,"Turkey"
"84","Mendel University in Brno",49.1972694396973,16.6036796569824,"Czechia"
"85","University of Basra",30.4942302703857,47.8186912536621,"Iraq"
"86","University of Tehran",35.6887702941895,51.4150314331055,"Iran"
"87","Razi Vaccine and Serum Research Institute",38.4869384765625,44.3422203063965,"Iran"
"88","The University of Hong Kong",22.2802925109863,114.142951965332,"Hong Kong SAR"
"89","Universität",48.2128105163574,16.3610992431641,"Austria"
"90","South Dakota State University",44.3204612731934,-96.7883377075195,"United States"
"91","Swiss Tropical and Public Health Institute",46.8002090454102,8.22919178009033,"Switzerland"
"92","University of Bern",46.9505615234375,7.43741989135742,"Switzerland"
"93","Public Health England",52.598876953125,-1.46688103675842,"United Kingdom"
"94","Aston Triangle",51.50041,-0.282,"United Kingdom"
"95","Kyoto University",35.015510559082,135.770034790039,"Japan"
"96","University of Tokushima",34.0592918395996,134.557968139648,"Japan"
"97","Seoul National University",37.4599990844727,126.949996948242,"South Korea"
"98","Utrecht University",52.08896,5.1784,"Netherlands"
"99","ENVT",NA,NA,NA
"100","Saar-land University Medical Center",49.2548904418945,7.03822994232178,"Germany"
